chr	start	end	direction
chr10	52778855	52778855	Hypo
chr10	69484594	69484594	Hypo
chr10	71819460	71819460	Hyper
chr10	71819648	71819648	Hyper
chr10	77710550	77710550	Hyper
chr10	99658726	99658726	Hyper
chr10	104335296	104335296	Hypo
chr10	119028861	119028861	Hyper
chr10	122258371	122258371	Hyper
chr10	128062100	128062100	Hyper
chr10	129510991	129510991	Hypo
chr10	129511483	129511483	Hypo
chr10	133024302	133024302	Hyper
chr11	362564	362564	Hyper
chr11	1639290	1639290	Hyper
chr11	1784724	1784724	Hyper
chr11	8242487	8242487	Hyper
chr11	15941621	15941621	Hypo
chr11	15941632	15941632	Hypo
chr11	15941650	15941650	Hypo
chr11	18171995	18171995	Hyper
chr11	45651196	45651196	Hypo
chr11	45652620	45652620	Hypo
chr11	45927384	45927384	Hyper
chr11	65791281	65791281	Hyper
chr11	65791525	65791525	Hyper
chr11	67407390	67407390	Hyper
chr11	68037913	68037913	Hyper
chr11	71476578	71476578	Hyper
chr11	71477216	71477216	Hyper
chr11	72822715	72822715	Hyper
chr11	77128083	77128083	Hypo
chr11	88338694	88338694	Hypo
chr11	94401840	94401840	Hyper
chr11	94401850	94401850	Hyper
chr11	102808169	102808169	Hyper
chr11	116414556	116414556	Hypo
chr11	119423567	119423567	Hyper
chr11	122618765	122618765	Hypo
chr11	125609467	125609467	Hyper
chr11	133077337	133077337	Hyper
chr12	1350578	1350578	Hyper
chr12	1629126	1629126	Hyper
chr12	1922339	1922339	Hyper
chr12	12926708	12926708	Hyper
chr12	27245313	27245313	Hyper
chr12	31893384	31893384	Hypo
chr12	32108404	32108404	Hypo
chr12	106022437	106022437	Hyper
chr12	107775813	107775813	Hypo
chr12	114734793	114734793	Hypo
chr12	116511123	116511123	Hyper
chr12	120642282	120642282	Hyper
chr12	124217764	124217764	Hyper
chr12	124391963	124391963	Hypo
chr12	130473821	130473821	Hyper
chr12	130634016	130634016	Hypo
chr12	130634081	130634081	Hypo
chr12	132386028	132386028	Hyper
chr13	25170416	25170416	Hypo
chr13	26046638	26046638	Hypo
chr13	36918993	36918993	Hypo
chr13	50389415	50389415	Hypo
chr13	78659432	78659432	Hypo
chr13	78660116	78660116	Hypo
chr13	78660183	78660183	Hypo
chr13	98449135	98449135	Hypo
chr13	99972635	99972635	Hypo
chr13	112076215	112076215	Hyper
chr13	113333124	113333124	Hyper
chr14	20617841	20617841	Hyper
chr14	20617846	20617846	Hyper
chr14	58716855	58716855	Hypo
chr14	58716878	58716878	Hypo
chr14	61406976	61406976	Hypo
chr14	70223744	70223744	Hyper
chr14	70223764	70223764	Hyper
chr14	70555948	70555948	Hyper
chr14	70556040	70556040	Hyper
chr14	71110762	71110762	Hyper
chr14	94062736	94062736	Hypo
chr14	105862948	105862948	Hypo
chr14	105863516	105863516	Hypo
chr14	105863560	105863560	Hypo
chr14	105863571	105863571	Hypo
chr14	105863646	105863646	Hypo
chr15	39587316	39587316	Hypo
chr15	51077665	51077665	Hyper
chr16	304287	304287	Hyper
chr16	734765	734765	Hyper
chr16	922587	922587	Hypo
chr16	962568	962568	Hypo
chr16	6375679	6375679	Hyper
chr16	49278023	49278023	Hyper
chr16	53373703	53373703	Hyper
chr16	66429021	66429021	Hyper
chr16	67661640	67661640	Hypo
chr16	75252111	75252111	Hyper
chr16	82329245	82329245	Hyper
chr16	83246822	83246822	Hyper
chr16	88200443	88200443	Hyper
chr16	89822278	89822278	Hyper
chr17	8163379	8163379	Hyper
chr17	35741099	35741099	Hyper
chr17	40719056	40719056	Hyper
chr17	40938056	40938056	Hypo
chr17	42023858	42023858	Hyper
chr17	42781280	42781280	Hypo
chr17	47852667	47852667	Hypo
chr17	48604188	48604188	Hyper
chr17	48604230	48604230	Hyper
chr17	48604273	48604273	Hyper
chr17	48631508	48631508	Hypo
chr17	60082670	60082670	Hypo
chr17	73785937	73785937	Hypo
chr17	76917365	76917365	Hyper
chr17	79152844	79152844	Hyper
chr17	79152847	79152847	Hyper
chr17	80751580	80751580	Hypo
chr17	80751670	80751670	Hypo
chr17	83065597	83065597	Hyper
chr18	3771110	3771110	Hypo
chr18	8662628	8662628	Hyper
chr18	11909452	11909452	Hypo
chr18	14748472	14748472	Hypo
chr18	31760889	31760889	Hyper
chr18	31760939	31760939	Hyper
chr18	79548433	79548433	Hyper
chr19	345491	345491	Hyper
chr19	611246	611246	Hyper
chr19	1039445	1039445	Hyper
chr19	1265858	1265858	Hypo
chr19	36053922	36053922	Hypo
chr19	38500898	38500898	Hyper
chr19	42424274	42424274	Hyper
chr19	42424292	42424292	Hyper
chr19	49684254	49684254	Hyper
chr19	49684276	49684276	Hyper
chr19	53884181	53884181	Hyper
chr2	3321994	3321994	Hyper
chr2	46150372	46150372	Hyper
chr2	53537679	53537679	Hypo
chr2	65083542	65083542	Hyper
chr2	66495370	66495370	Hypo
chr2	102177821	102177821	Hyper
chr2	106073174	106073174	Hyper
chr2	106853261	106853261	Hyper
chr2	112646867	112646867	Hypo
chr2	123061689	123061689	Hyper
chr2	156327978	156327978	Hypo
chr2	158487179	158487179	Hyper
chr2	168455397	168455397	Hypo
chr2	188293164	188293164	Hyper
chr2	190994263	190994263	Hyper
chr2	229271695	229271695	Hypo
chr2	231661980	231661980	Hypo
chr2	234994507	234994507	Hyper
chr2	235263697	235263697	Hyper
chr2	236570021	236570021	Hyper
chr2	237265009	237265009	Hyper
chr2	239160696	239160696	Hyper
chr2	239162696	239162696	Hyper
chr2	239283712	239283712	Hyper
chr2	240886522	240886522	Hyper
chr20	17698755	17698755	Hypo
chr20	19211657	19211657	Hyper
chr20	24144510	24144510	Hyper
chr20	46009908	46009908	Hypo
chr20	52975194	52975194	Hypo
chr20	61934984	61934984	Hyper
chr20	61936757	61936757	Hyper
chr21	41679161	41679161	Hypo
chr21	42070144	42070144	Hypo
chr21	44866016	44866016	Hypo
chr21	45072416	45072416	Hyper
chr21	45285705	45285705	Hyper
chr21	45976859	45976859	Hypo
chr22	19292478	19292478	Hypo
chr22	19292514	19292514	Hypo
chr22	20395755	20395755	Hypo
chr22	22773693	22773693	Hyper
chr22	37127111	37127111	Hyper
chr22	38444360	38444360	Hyper
chr22	50577502	50577502	Hyper
chr3	11245392	11245392	Hypo
chr3	15269506	15269506	Hypo
chr3	15269514	15269514	Hypo
chr3	19934145	19934145	Hyper
chr3	19934246	19934246	Hyper
chr3	42224142	42224142	Hyper
chr3	52773754	52773754	Hyper
chr3	141124789	141124789	Hypo
chr3	151461144	151461144	Hyper
chr3	151461171	151461171	Hyper
chr3	151461195	151461195	Hyper
chr3	158570891	158570891	Hyper
chr3	173914761	173914761	Hyper
chr3	179842351	179842351	Hyper
chr3	184100065	184100065	Hyper
chr3	197495382	197495382	Hyper
chr3	197505672	197505672	Hyper
chr4	1053204	1053204	Hypo
chr4	6342640	6342640	Hyper
chr4	6342654	6342654	Hyper
chr4	7664217	7664217	Hypo
chr4	8582744	8582744	Hyper
chr4	13891923	13891923	Hypo
chr4	39228150	39228150	Hypo
chr4	55510177	55510177	Hypo
chr4	56544954	56544954	Hyper
chr4	127624311	127624311	Hyper
chr4	140645543	140645543	Hyper
chr4	151692328	151692328	Hypo
chr4	162521453	162521453	Hypo
chr4	184756500	184756500	Hypo
chr4	185470524	185470524	Hyper
chr5	1075618	1075618	Hyper
chr5	1891060	1891060	Hypo
chr5	2008074	2008074	Hyper
chr5	5492364	5492364	Hypo
chr5	43588186	43588186	Hyper
chr5	68962960	68962960	Hyper
chr5	124744389	124744389	Hypo
chr5	124744509	124744509	Hypo
chr5	124744512	124744512	Hypo
chr5	132272034	132272034	Hypo
chr5	132277599	132277599	Hypo
chr5	135400311	135400311	Hypo
chr5	138372745	138372745	Hypo
chr5	141419364	141419364	Hypo
chr5	148393601	148393601	Hyper
chr5	153492118	153492118	Hypo
chr5	159106100	159106100	Hypo
chr5	180806833	180806833	Hypo
chr6	572714	572714	Hyper
chr6	25167001	25167001	Hypo
chr6	29374853	29374853	Hyper
chr6	32221218	32221218	Hyper
chr6	32395435	32395435	Hyper
chr6	32406407	32406407	Hyper
chr6	33107666	33107666	Hyper
chr6	82365394	82365394	Hypo
chr6	117264005	117264005	Hyper
chr6	126527302	126527302	Hypo
chr6	163750653	163750653	Hyper
chr6	168067056	168067056	Hypo
chr6	168081191	168081191	Hyper
chr6	170163210	170163210	Hyper
chr6	170244354	170244354	Hyper
chr7	768667	768667	Hypo
chr7	1297741	1297741	Hypo
chr7	2380655	2380655	Hyper
chr7	4203314	4203314	Hypo
chr7	4203330	4203330	Hypo
chr7	4204053	4204053	Hypo
chr7	4227319	4227319	Hypo
chr7	25860504	25860504	Hyper
chr7	50566076	50566076	Hypo
chr7	56074654	56074654	Hyper
chr7	80125235	80125235	Hypo
chr7	100706924	100706924	Hyper
chr7	102199400	102199400	Hyper
chr7	128829705	128829705	Hyper
chr7	129765841	129765841	Hyper
chr7	136426839	136426839	Hypo
chr7	137845971	137845971	Hyper
chr7	142721475	142721475	Hypo
chr7	142721508	142721508	Hypo
chr7	149621796	149621796	Hyper
chr7	149621832	149621832	Hyper
chr7	149621881	149621881	Hyper
chr7	149621922	149621922	Hyper
chr7	149621946	149621946	Hyper
chr7	149862376	149862376	Hyper
chr7	154255160	154255160	Hyper
chr7	155000336	155000336	Hyper
chr7	156365107	156365107	Hyper
chr7	156365158	156365158	Hyper
chr7	157664966	157664966	Hyper
chr8	1894563	1894563	Hyper
chr8	1900575	1900575	Hyper
chr8	2064402	2064402	Hypo
chr8	17414723	17414723	Hyper
chr8	20280966	20280966	Hypo
chr8	22191380	22191380	Hyper
chr8	38998970	38998970	Hypo
chr8	48318580	48318580	Hyper
chr8	53252363	53252363	Hypo
chr8	78665383	78665383	Hypo
chr8	98364760	98364760	Hypo
chr8	101027310	101027310	Hyper
chr8	128150143	128150143	Hyper
chr8	132111515	132111515	Hyper
chr8	132447726	132447726	Hyper
chr8	142670423	142670423	Hypo
chr8	142670445	142670445	Hypo
chr8	142670531	142670531	Hypo
chr8	142670561	142670561	Hypo
chr8	143334036	143334036	Hypo
chr8	143959565	143959565	Hyper
chr9	15360721	15360721	Hyper
chr9	33750359	33750359	Hyper
chr9	34505720	34505720	Hyper
chr9	95517718	95517718	Hypo
chr9	134702387	134702387	Hyper
chrX	497398	497398	Hyper
chrX	153027806	153027806	Hyper
