chr	start	end
chr20	19211657	19211657
chr20	24144510	24144510
chr20	46009908	46009908
chr20	52975194	52975194
chr20	61934984	61934984
chr20	61936757	61936757
chr21	41679161	41679161
chr21	42070144	42070144
chr21	44866016	44866016
chr21	45072416	45072416
chr21	45285705	45285705
chr21	45976859	45976859
chr22	19292478	19292478
chr22	19292514	19292514
chr22	20395755	20395755
chr22	22773693	22773693
chr22	37127111	37127111
chr22	38444360	38444360
chr22	50577502	50577502
chr3	11245392	11245392
chr3	15269506	15269506
chr3	15269514	15269514
chr3	19934145	19934145
chr3	19934246	19934246
chr3	42224142	42224142
chr3	52773754	52773754
chr3	141124789	141124789
chr3	151461144	151461144
chr3	151461171	151461171
chr3	151461195	151461195
chr3	158570891	158570891
chr3	173914761	173914761
chr3	179842351	179842351
chr3	184100065	184100065
chr3	197495382	197495382
chr3	197505672	197505672
chr4	1053204	1053204
chr4	6342640	6342640
chr4	6342654	6342654
chr4	7664217	7664217
chr4	8582744	8582744
chr4	13891923	13891923
chr4	39228150	39228150
chr4	55510177	55510177
chr4	56544954	56544954
chr4	127624311	127624311
chr4	140645543	140645543
chr4	151692328	151692328
chr4	162521453	162521453
chr4	184756500	184756500
chr4	185470524	185470524
chr5	1075618	1075618
chr5	1891060	1891060
chr5	2008074	2008074
chr5	5492364	5492364
chr5	43588186	43588186
chr5	68962960	68962960
chr5	124744389	124744389
chr5	124744509	124744509
chr5	124744512	124744512
chr5	132272034	132272034
chr5	132277599	132277599
chr5	135400311	135400311
chr5	138372745	138372745
chr5	141419364	141419364
chr5	148393601	148393601
chr5	153492118	153492118
chr5	159106100	159106100
chr5	180806833	180806833
chr6	572714	572714
chr6	25167001	25167001
chr6	29374853	29374853
chr6	32221218	32221218
chr6	32395435	32395435
chr6	32406407	32406407
chr6	33107666	33107666
chr6	82365394	82365394
chr6	117264005	117264005
chr6	126527302	126527302
chr6	163750653	163750653
chr6	168067056	168067056
chr6	168081191	168081191
chr6	170163210	170163210
chr6	170244354	170244354
chr7	768667	768667
chr7	1297741	1297741
chr7	2380655	2380655
chr7	4203314	4203314
chr7	4203330	4203330
chr7	4204053	4204053
chr7	4227319	4227319
chr7	25860504	25860504
chr7	50566076	50566076
chr7	56074654	56074654
chr7	80125235	80125235
chr7	100706924	100706924
chr7	102199400	102199400
chr7	128829705	128829705
chr7	129765841	129765841
chr7	136426839	136426839
chr7	137845971	137845971
chr7	142721475	142721475
chr7	142721508	142721508
chr7	149621796	149621796
chr7	149621832	149621832
chr7	149621881	149621881
chr7	149621922	149621922
chr7	149621946	149621946
chr7	149862376	149862376
chr7	154255160	154255160
chr7	155000336	155000336
chr7	156365107	156365107
chr7	156365158	156365158
chr7	157664966	157664966
chr8	1894563	1894563
chr8	1900575	1900575
chr8	2064402	2064402
chr8	17414723	17414723
chr8	20280966	20280966
chr8	22191380	22191380
chr8	38998970	38998970
chr8	48318580	48318580
chr8	53252363	53252363
chr8	78665383	78665383
chr8	98364760	98364760
chr8	101027310	101027310
chr8	128150143	128150143
chr8	132111515	132111515
chr8	132447726	132447726
chr8	142670423	142670423
chr8	142670445	142670445
chr8	142670531	142670531
chr8	142670561	142670561
chr8	143334036	143334036
chr8	143959565	143959565
chr9	15360721	15360721
chr9	33750359	33750359
chr9	34505720	34505720
chr9	95517718	95517718
chr9	134702387	134702387
chrX	497398	497398
chrX	153027806	153027806
