"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0332069993724264,30,1483,2.07563144637733,"GO:0010648 negative regulation of cell communication "," http://amigo.geneontology.org/amigo/term/GO:0010648"," SHISA2  TRABD2B  AXIN1  TSPAN15  THBS1  PID1  PSCA  OPRK1  SH3BP4  CLOCK  ITPRIP  THY1  GRIA1  DGKI  TBC1D10C  SORCS2  PTCH1  MMP9  CBLN1  STAT1  PRMT1  PRDM16  ACKR3  NR4A2  AMER2  PTTG1IP  NCOR2  ABCA7  PTPRE  BICD1"
0.0332069993724264,3,10,30.7816143497758,"GO:0015911 long-chain fatty acid import across plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0015911"," THBS1  ACSL1  SLC2A1"
0.0332069993724264,30,1488,2.06865687834515,"GO:0023057 negative regulation of signaling "," http://amigo.geneontology.org/amigo/term/GO:0023057"," SHISA2  TRABD2B  AXIN1  TSPAN15  THBS1  PID1  PSCA  OPRK1  SH3BP4  CLOCK  ITPRIP  THY1  GRIA1  DGKI  TBC1D10C  SORCS2  PTCH1  MMP9  CBLN1  STAT1  PRMT1  PRDM16  ACKR3  NR4A2  AMER2  PTTG1IP  NCOR2  ABCA7  PTPRE  BICD1"
0.0335716149173065,20,810,2.53346620162764,"GO:0099536 synaptic signaling "," http://amigo.geneontology.org/amigo/term/GO:0099536"," RIMBP2  LZTS1  ERC1  DGKI  NLGN1  DLGAP1  HTR3E  HRH1  PRKCG  FARP1  GRIA1  PRKCE  SORCS2  ADARB1  CBLN1  PDLIM4  VAMP2  OPRK1  KCNC4  KCNQ3"
0.0373992583651962,32,1660,1.97793505862013,"GO:0009719 response to endogenous stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009719"," STAT1  SLC2A1  SMAD9  RPTOR  NR4A2  SHISA2  RUNX3  HCN2  THBS1  CDH13  PID1  HTR3E  HDAC4  OPRK1  AXIN1  DNAI1  GPR83  DDC  CLOCK  COL6A1  ACSL1  PRKCE  UMODL1  HRH1  SH3BP4  BCAR3  PRDM16  RYR1  NCOR2  GNAI1  PTPRE  VAMP2"
0.0376150047528926,19,764,2.55170450543517,"GO:0007268 chemical synaptic transmission "," http://amigo.geneontology.org/amigo/term/GO:0007268"," RIMBP2  LZTS1  ERC1  DGKI  NLGN1  DLGAP1  HTR3E  HRH1  PRKCG  GRIA1  PRKCE  SORCS2  ADARB1  CBLN1  PDLIM4  VAMP2  OPRK1  KCNC4  KCNQ3"
0.0376150047528926,19,764,2.55170450543517,"GO:0098916 anterograde trans-synaptic signaling "," http://amigo.geneontology.org/amigo/term/GO:0098916"," RIMBP2  LZTS1  ERC1  DGKI  NLGN1  DLGAP1  HTR3E  HRH1  PRKCG  GRIA1  PRKCE  SORCS2  ADARB1  CBLN1  PDLIM4  VAMP2  OPRK1  KCNC4  KCNQ3"
0.049843788508611,9,214,4.31517958174427,"GO:0048167 regulation of synaptic plasticity "," http://amigo.geneontology.org/amigo/term/GO:0048167"," LZTS1  ERC1  PRKCG  GRIA1  DGKI  SORCS2  HRH1  CBLN1  VAMP2"
0.0640838092147871,9,223,4.14102435198777,"GO:0071805 potassium ion transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:0071805"," KCNC4  WNK4  DPP6  KCNJ4  KCNQ3  HCN2  SLC24A3  OPRK1  VAMP2"
0.0763364018141515,6,100,6.15632286995516,"GO:0043279 response to alkaloid "," http://amigo.geneontology.org/amigo/term/GO:0043279"," OPRK1  PRKCG  DDC  SDK1  PRKCE  RYR1"
0.0878059237566331,3,17,18.1068319704563,"GO:0044539 long-chain fatty acid import into cell "," http://amigo.geneontology.org/amigo/term/GO:0044539"," THBS1  ACSL1  SLC2A1"
0.0878059237566331,2,4,51.3026905829596,"GO:2000697 negative regulation of epithelial cell differentiation involved in kidney development "," http://amigo.geneontology.org/amigo/term/GO:2000697"," MMP9  STAT1"
0.0971170984877594,9,248,3.72358238102126,"GO:0006813 potassium ion transport "," http://amigo.geneontology.org/amigo/term/GO:0006813"," KCNC4  WNK4  DPP6  KCNJ4  KCNQ3  HCN2  SLC24A3  OPRK1  VAMP2"
0.0971170984877594,16,659,2.49117769143355,"GO:0007610 behavior "," http://amigo.geneontology.org/amigo/term/GO:0007610"," HDAC4  OPRK1  GPR83  PRKCG  MEIS1  SDK1  NR4A2  GRIA1  DGKI  PRKCE  HRH1  ADARB1  NLGN1  ABCA7  THBS1  RPTOR"
0.0971170984877594,26,1354,1.97026581263951,"GO:0009968 negative regulation of signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0009968"," SHISA2  TRABD2B  AXIN1  TSPAN15  THBS1  PID1  PSCA  SH3BP4  CLOCK  ITPRIP  THY1  TBC1D10C  PTCH1  MMP9  CBLN1  STAT1  PRMT1  PRDM16  ACKR3  NR4A2  AMER2  PTTG1IP  NCOR2  ABCA7  PTPRE  BICD1"
0.0971170984877594,30,1653,1.86216662733066,"GO:0055085 transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:0055085"," PEX5L  KCNC4  SLC2A1  WNK4  DPP6  SLC20A1  PID1  THY1  SLC25A28  KCNJ4  KCNQ3  SLC24A3  HTR3E  HCN2  TCIRG1  MMP9  THBS1  SLC25A52  NLGN1  ABCA7  OPRK1  ACSL1  GRIA1  SLC45A1  PRKCE  RYR1  COX15  CLTCL1  VAMP2  CPT1B"
0.0971170984877594,16,654,2.51022339243839,"GO:0071417 cellular response to organonitrogen compound "," http://amigo.geneontology.org/amigo/term/GO:0071417"," RPTOR  NR4A2  HCN2  PID1  HTR3E  STAT1  DNAI1  DDC  COL6A1  UMODL1  HRH1  SH3BP4  BCAR3  RYR1  PTPRE  VAMP2"
0.0971170984877594,3,18,17.1008968609865,"GO:0140354 lipid import into cell "," http://amigo.geneontology.org/amigo/term/GO:0140354"," THBS1  ACSL1  SLC2A1"
0.10878723545066,17,734,2.37641890983737,"GO:1901699 cellular response to nitrogen compound "," http://amigo.geneontology.org/amigo/term/GO:1901699"," RPTOR  NR4A2  HCN2  PID1  HTR3E  STAT1  DNAI1  DDC  COL6A1  GRIA1  UMODL1  HRH1  SH3BP4  BCAR3  RYR1  PTPRE  VAMP2"
0.130886641191154,4,47,8.73237286518462,"GO:0034331 cell junction maintenance "," http://amigo.geneontology.org/amigo/term/GO:0034331"," ERC1  CBLN1  NLGN1  PARD6A"
0.138878876682955,2,6,34.2017937219731,"GO:0010746 regulation of long-chain fatty acid import across plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0010746"," THBS1  ACSL1"
0.138878876682955,32,1874,1.75206627391111,"GO:0051049 regulation of transport "," http://amigo.geneontology.org/amigo/term/GO:0051049"," WNK4  DPP6  BICD1  PID1  THY1  KCNJ4  HCN2  EIPR1  MMP9  THBS1  NLGN1  PTCH1  POFUT2  OPRK1  PARD6A  TCIRG1  KCNC4  PRKCG  CLOCK  ACSL1  DGKI  PRKCE  KCNQ3  RASL10B  CLTCL1  IL2RB  CDH13  EFHB  ABCA7  CABP1  VAMP2  DISP3"
0.138878876682955,4,49,8.37594948293219,"GO:0060292 long-term synaptic depression "," http://amigo.geneontology.org/amigo/term/GO:0060292"," GRIA1  DGKI  SORCS2  CBLN1"
0.138878876682955,26,1409,1.89335692712129,"GO:0071495 cellular response to endogenous stimulus "," http://amigo.geneontology.org/amigo/term/GO:0071495"," SMAD9  RPTOR  NR4A2  SHISA2  HCN2  THBS1  PID1  HTR3E  HDAC4  AXIN1  STAT1  DNAI1  DDC  CLOCK  COL6A1  ACSL1  PRKCE  UMODL1  HRH1  SH3BP4  BCAR3  PRDM16  RYR1  NCOR2  PTPRE  VAMP2"
0.138878876682955,20,972,2.1112218346897,"GO:0098655 cation transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:0098655"," KCNC4  WNK4  DPP6  THY1  SLC25A28  KCNJ4  KCNQ3  SLC24A3  HCN2  TCIRG1  MMP9  NLGN1  HTR3E  OPRK1  PEX5L  SLC20A1  PRKCE  RYR1  COX15  VAMP2"
0.151368678792365,3,24,12.8256726457399,"GO:0010839 negative regulation of keratinocyte proliferation "," http://amigo.geneontology.org/amigo/term/GO:0010839"," INTU  OVOL1  PTCH1"
0.151368678792365,13,511,2.61031302379051,"GO:0034765 regulation of ion transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:0034765"," WNK4  DPP6  THY1  KCNJ4  HCN2  MMP9  NLGN1  OPRK1  TCIRG1  KCNC4  PRKCE  KCNQ3  VAMP2"
0.165370953707915,3,25,12.3126457399103,"GO:0099558 maintenance of synapse structure "," http://amigo.geneontology.org/amigo/term/GO:0099558"," ERC1  CBLN1  NLGN1"
0.168692515216267,2,7,29.3158231902627,"GO:1903224 regulation of endodermal cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:1903224"," COL5A1  MACROH2A1"
0.168692515216267,2,7,29.3158231902627,"GO:1904781 positive regulation of protein localization to centrosome "," http://amigo.geneontology.org/amigo/term/GO:1904781"," BICD1  PARD6A"
0.169810953384416,4,55,7.46220953933958,"GO:0035987 endodermal cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0035987"," COL5A1  MMP9  COL6A1  MACROH2A1"
0.169810953384416,4,55,7.46220953933958,"GO:0043616 keratinocyte proliferation "," http://amigo.geneontology.org/amigo/term/GO:0043616"," CDH13  INTU  OVOL1  PTCH1"
0.172881194031688,6,140,4.3973734785394,"GO:0001704 formation of primary germ layer "," http://amigo.geneontology.org/amigo/term/GO:0001704"," COL5A1  AXIN1  POFUT2  MMP9  COL6A1  MACROH2A1"
0.172881194031688,5,94,5.45773304074039,"GO:0007492 endoderm development "," http://amigo.geneontology.org/amigo/term/GO:0007492"," COL5A1  SSBP3  MMP9  COL6A1  MACROH2A1"
0.172881194031688,5,95,5.40028321925891,"GO:0009953 dorsal/ventral pattern formation "," http://amigo.geneontology.org/amigo/term/GO:0009953"," BMP1  AXIN1  WDR19  INTU  PTCH1"
0.172881194031688,3,28,10.9934336963485,"GO:0014072 response to isoquinoline alkaloid "," http://amigo.geneontology.org/amigo/term/GO:0014072"," OPRK1  PRKCG  PRKCE"
0.172881194031688,3,28,10.9934336963485,"GO:0043278 response to morphine "," http://amigo.geneontology.org/amigo/term/GO:0043278"," OPRK1  PRKCG  PRKCE"
0.172881194031688,3,27,11.4005979073244,"GO:0045606 positive regulation of epidermal cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0045606"," PRKCH  PTCH1  MACROH2A1"
0.172881194031688,12,474,2.59760458647897,"GO:0050804 modulation of chemical synaptic transmission "," http://amigo.geneontology.org/amigo/term/GO:0050804"," LZTS1  ERC1  DGKI  NLGN1  DLGAP1  PRKCG  GRIA1  PRKCE  SORCS2  HRH1  CBLN1  VAMP2"
0.172881194031688,2,8,25.6513452914798,"GO:0060896 neural plate pattern specification "," http://amigo.geneontology.org/amigo/term/GO:0060896"," SSBP3  PTCH1"
0.172881194031688,12,475,2.59213594524428,"GO:0099177 regulation of trans-synaptic signaling "," http://amigo.geneontology.org/amigo/term/GO:0099177"," LZTS1  ERC1  DGKI  NLGN1  DLGAP1  PRKCG  GRIA1  PRKCE  SORCS2  HRH1  CBLN1  VAMP2"
0.172881194031688,2,8,25.6513452914798,"GO:0140212 regulation of long-chain fatty acid import into cell "," http://amigo.geneontology.org/amigo/term/GO:0140212"," THBS1  ACSL1"
0.178879456034516,11,416,2.71312305967575,"GO:0043434 response to peptide hormone "," http://amigo.geneontology.org/amigo/term/GO:0043434"," STAT1  SLC2A1  NR4A2  PID1  OPRK1  DNAI1  UMODL1  BCAR3  GNAI1  PTPRE  VAMP2"
0.181035522732042,3,29,10.6143497757848,"GO:0048520 positive regulation of behavior "," http://amigo.geneontology.org/amigo/term/GO:0048520"," HDAC4  OPRK1  NLGN1"
0.183884130187274,5,99,5.18208995787471,"GO:0048661 positive regulation of smooth muscle cell proliferation "," http://amigo.geneontology.org/amigo/term/GO:0048661"," THBS1  HDAC4  STAT1  MMP9  CDH13"
0.191157371050798,6,145,4.2457399103139,"GO:0050680 negative regulation of epithelial cell proliferation "," http://amigo.geneontology.org/amigo/term/GO:0050680"," THBS1  INTU  OVOL1  PTCH1  STAT1  RUNX3"
0.194778882283918,22,1194,1.89055141176736,"GO:0009628 response to abiotic stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009628"," RPTOR  CIRBP  MMP9  CIAO3  CLOCK  PAXIP1  RYR1  HDAC4  OPRK1  STAT1  SLC2A1  THBS1  NR4A2  MGMT  PRKCE  PPP1CA  PLEC  PTCH1  HRH1  CPT1B  ABCA7  DNAJC7"
0.194778882283918,18,898,2.05667801891598,"GO:0009725 response to hormone "," http://amigo.geneontology.org/amigo/term/GO:0009725"," STAT1  SLC2A1  NR4A2  PID1  HDAC4  OPRK1  DNAI1  GPR83  CLOCK  ACSL1  PRKCE  UMODL1  BCAR3  NCOR2  GNAI1  PTPRE  VAMP2  THBS1"
0.19875612446357,12,491,2.50766715680454,"GO:0007389 pattern specification process "," http://amigo.geneontology.org/amigo/term/GO:0007389"," HOXB6  MEIS1  BMP1  HOXB7  ACD  AXIN1  IRX4  DNAI1  SSBP3  WDR19  INTU  PTCH1"
